news_url,title,text,source_name,date,topics,sentiment,tickers
https://seekingalpha.com/article/4842855-riverpark-longshort-opportunity-fund-q3-2025-top-and-bottom-performers,RiverPark Long/Short Opportunity Fund: Q3 2025 Top And Bottom Performers,"GOOG was our top contributor in the quarter, benefiting from accelerating momentum in its core Search and YouTube franchises. We continue to view Alphabet as among the best-positioned secular growth franchises in the market. NVDA shares advanced during the quarter after once again reporting blowout results that exceeded even elevated expectations.",Seeking Alpha,"Wed, 12 Nov 2025 20:00:00 -0500",['paylimitwall'],Positive,AAPL
https://www.youtube.com/watch?v=BI2jH_pPn_E,"Investors view Apple's capital discipline as a strategic advantage, says Plexo Capital's Lo Toney","Lo Toney, Plexo Capital founding managing partner, joins 'Closing Bell' to discuss the state of the AI trade, if Apple will become buyers in this technology cycle and much more.",CNBC Television,"Wed, 12 Nov 2025 16:08:56 -0500",[],Positive,AAPL
https://seekingalpha.com/article/4842643-apple-too-little-too-late,"Apple: Too Little, Too Late?","Apple Inc. remains a strong consumer brand but faces stagnating growth and a lack of innovation, making it a sell at current valuations. Q4 earnings beat expectations, with record revenue and margins, yet growth lags behind other mega-cap tech peers. AAPL's reported $1 billion AI deal with Google highlights strategic weaknesses and dependence on external innovation for Siri.",Seeking Alpha,"Wed, 12 Nov 2025 14:24:40 -0500",['paylimitwall'],Neutral,AAPL
https://www.cnet.com/tech/services-and-software/apple-to-reportedly-pay-google-1-billion-a-year-for-siris-custom-gemini-ai-model/,Apple to Reportedly Pay Google $1 Billion a Year for Siri's Custom Gemini AI Model,"Apple is choosing Google over Anthropic because of cost, per report.",CNET,"Wed, 12 Nov 2025 13:36:40 -0500",[],Neutral,AAPL
https://www.youtube.com/watch?v=upiprjQO9FI,"The Big 3: AAPL, SLV, XOM","A gamma squeeze in Apple (AAPL) has @Theotrade's Don Kaufman bullish in the short-term. However, he leans bearish when it comes to the iShares Silver Trust ETF (SLV) and Exxon Mobil (XOM).",Schwab Network,"Wed, 12 Nov 2025 13:01:10 -0500",[],Positive,AAPL
https://www.wsj.com/business/media/streaming-prices-are-soaringand-consumers-are-still-paying-1bb7dbae,Streaming Prices Are Soaring—and Consumers Are Still Paying,The menu of options for how to watch shows and movies without cable continues to grow—as do their price tags. But viewers have generally been sticking with their subscriptions.,WSJ,"Wed, 12 Nov 2025 12:45:00 -0500",['paywall'],Positive,AAPL
https://www.reuters.com/world/developer-fee-cuts-not-passed-eu-users-apple-says-2025-11-12/,"Developer fee cuts not passed on to EU users, Apple says","Lower developer fees implemented by Apple to comply with European Union tech regulations have not reduced prices for users, the iPhone maker said on Wednesday, renewing its criticism of Europe's efforts to rein in its market power.",Reuters,"Wed, 12 Nov 2025 11:07:51 -0500",[],Negative,AAPL
https://seekingalpha.com/article/4842477-apple-consumer-staples-like-nature-and-sticky-ecosystem-make-it-a-buy,Apple: Consumer Staples-Like Nature And Sticky Ecosystem Make It A Buy,"Apple Inc. is rated a Buy with a $300 price target, offering a 12% upside and potential market outperformance. AAPL delivered its 9th consecutive double-beat quarter, driven by strong iPhone and services growth, with solid top and bottom-line expansion. The company's sticky ecosystem, shareholder-friendly buybacks, and global diversification support its status as a technology consumer staple.",Seeking Alpha,"Wed, 12 Nov 2025 10:45:23 -0500",['paylimitwall'],Positive,AAPL
https://247wallst.com/investing/2025/11/12/warren-buffett-stepping-down-with-31-of-berkshire-in-cash-his-2-ultra-safest-stocks/?utm_source=snapi,Warren Buffett Stepping Down With 31% of Berkshire in Cash: His 3 Ultra Safest Stocks,"Warren Buffett's Berkshire Hathaway is currently sitting on an unprecedented and massive cash pile, with approximately 31% of its portfolio held in cash and short-term Treasury bills—a record $381 billion.",24/7 Wall Street,"Wed, 12 Nov 2025 07:49:29 -0500",['wbuffett'],Positive,AAPL
https://www.zacks.com/stock/news/2789635/these-mega-tech-giants-generate-robust-cash?cid=CS-STOCKNEWSAPI-FT-stocks_in_the_news-2789635,These Mega Tech Giants Generate Robust Cash,"Strong cash flows reflect financial stability, allowing companies to pay down debt, pursue growth opportunities, and shell out dividend payments.",Zacks Investment Research,"Tue, 11 Nov 2025 21:21:06 -0500",[],Positive,AAPL
https://www.youtube.com/watch?v=QWidoOPhbJo,"Apple's minimal AI spend may lead to big gaps in competition, says Big Technology's Alex Kantrowitz","CNBC's Alex Kovach and Big Technology's Alex Kantrowitz join 'Closing Bell' to discuss Apple's AI strategy, challenges with minimal spend and much more.",CNBC Television,"Tue, 11 Nov 2025 16:17:58 -0500",[],Negative,AAPL
https://www.youtube.com/watch?v=PNr6-BU_8og,"The Big 3: GOOGL, AAPL, TSM","Jessica Inskip (@jessicainskip) focuses on Big Tech for today's Big 3. She explains how Alphabet's (GOOGL) TPU growth and Google search play into a long-term bull thesis, Apple's (AAPL) ever-changing ecosystem and product diversification, and TSMC's (TSM) cash war chest and role in the center of the A.I.",Schwab Network,"Tue, 11 Nov 2025 12:30:07 -0500",[],Positive,AAPL
https://nypost.com/2025/11/11/business/apple-pulls-plug-on-iphone-air-2-after-weak-sales-of-debut-model-report/,Apple reportedly pulls plug on iPhone Air 2 after weak sales of debut model,Follow-up model -- internally known as “V62” -- had been slated to debut in fall 2026 alongside the iPhone 18 Pro and Apple's first foldable iPhone.,New York Post,"Tue, 11 Nov 2025 12:21:52 -0500",['product'],Negative,AAPL
https://www.businesswire.com/news/home/20251111327460/en/Prana-Labs-Secures-150K-to-Advance-Vayu-Its-AI-Guided-Breathwork-and-Mindful-Technology-Platform/,"Prana Labs Secures $150K to Advance Vayu, Its AI-Guided Breathwork and Mindful Technology Platform","VANCOUVER, British Columbia--(BUSINESS WIRE)---- $AAPL #breathwork--Prana Labs Inc., a Vancouver-based wellness technology company and creator of the AI-powered breathwork platform Vayu, has secured $150,000 in growth funding through national innovation partners. The investment fuels Prana Labs' mission to make mindful technology more accessible, measurable, and human-centered. Founded by Deepali Raiththa and Dhruv Adhia, Prana Labs blends neuroscience, haptic design, and AI personalization to create embodied wellne.",Business Wire,"Tue, 11 Nov 2025 12:00:00 -0500",['PressRelease'],Neutral,AAPL
https://www.forbes.com/sites/greatspeculations/2025/11/11/what-will-drive-apple-stocks-next-big-move/,What Will Drive Apple Stock's Next Big Move?,"Apple stock (NASDAQ:AAPL) has a robust history of quick up moves, with rallies of over 30% in less than two months during several years including 2010, 2019, and 2024. Particularly, there were two instances where the gains surpassed 50% within approximately two months, notably in 2012 and 2020.",Forbes,"Tue, 11 Nov 2025 09:50:09 -0500",['paylimitwall'],Positive,AAPL
